Time	Well101	Well102	Well103	Well104	Well105	Well106	Well107	Well108	Well109	Well110	Well111	Well112	Well113	Well114	Well115	BLANK
0:00:04	0.308	0.295	0.289	0.197	0.194	0.199	0.278	0.288	0.302	0.251	0.244	0.265	0.247	0.24	0.236	0.162
0:30:05	0.246	0.247	0.243	0.184	0.185	0.191	0.244	0.253	0.254	0.236	0.235	0.239	0.231	0.228	0.225	0.155
1:00:05	0.244	0.245	0.241	0.183	0.186	0.192	0.242	0.251	0.253	0.235	0.234	0.239	0.231	0.228	0.225	0.156
1:30:05	0.24	0.24	0.24	0.183	0.185	0.192	0.244	0.25	0.252	0.234	0.233	0.237	0.231	0.228	0.226	0.158
2:00:05	0.241	0.241	0.24	0.183	0.185	0.189	0.243	0.251	0.252	0.235	0.234	0.236	0.231	0.23	0.226	0.158
2:30:05	0.24	0.241	0.24	0.183	0.185	0.189	0.244	0.251	0.255	0.233	0.233	0.237	0.231	0.23	0.227	0.158
3:00:06	0.239	0.242	0.24	0.183	0.185	0.188	0.243	0.253	0.252	0.234	0.233	0.236	0.231	0.231	0.227	0.158
3:30:06	0.241	0.246	0.241	0.184	0.185	0.189	0.247	0.255	0.255	0.234	0.234	0.237	0.234	0.232	0.228	0.159
4:00:06	0.239	0.247	0.24	0.185	0.185	0.188	0.249	0.256	0.258	0.235	0.233	0.237	0.234	0.234	0.229	0.159
4:30:06	0.239	0.242	0.248	0.183	0.183	0.188	0.251	0.261	0.259	0.234	0.233	0.236	0.236	0.236	0.231	0.158
5:00:06	0.241	0.243	0.24	0.182	0.184	0.188	0.256	0.265	0.266	0.235	0.235	0.237	0.238	0.239	0.235	0.159
5:30:06	0.241	0.244	0.239	0.182	0.18	0.187	0.264	0.273	0.273	0.235	0.234	0.237	0.242	0.241	0.238	0.157
6:00:06	0.241	0.243	0.239	0.181	0.18	0.19	0.27	0.281	0.281	0.234	0.234	0.237	0.246	0.247	0.243	0.158
6:30:06	0.242	0.246	0.239	0.181	0.18	0.187	0.281	0.294	0.294	0.235	0.236	0.238	0.253	0.254	0.251	0.158
7:00:06	0.245	0.248	0.24	0.18	0.179	0.186	0.297	0.31	0.311	0.237	0.237	0.238	0.261	0.263	0.259	0.158
7:30:06	0.247	0.25	0.24	0.178	0.179	0.185	0.316	0.331	0.334	0.238	0.239	0.239	0.272	0.277	0.271	0.158
8:00:06	0.25	0.252	0.242	0.179	0.179	0.186	0.346	0.365	0.365	0.24	0.243	0.243	0.289	0.295	0.286	0.157
8:30:06	0.255	0.258	0.243	0.178	0.179	0.186	0.378	0.401	0.403	0.244	0.247	0.245	0.31	0.317	0.308	0.158
9:00:07	0.263	0.266	0.243	0.179	0.178	0.186	0.432	0.457	0.458	0.248	0.253	0.25	0.341	0.35	0.338	0.154
9:30:07	0.273	0.275	0.245	0.178	0.179	0.185	0.488	0.517	0.521	0.253	0.262	0.254	0.372	0.388	0.374	0.157
10:00:06	0.285	0.288	0.248	0.178	0.179	0.186	0.559	0.592	0.594	0.26	0.27	0.259	0.417	0.438	0.421	0.159
10:30:06	0.301	0.305	0.252	0.178	0.178	0.189	0.646	0.684	0.688	0.269	0.284	0.268	0.474	0.501	0.483	0.159
11:00:06	0.324	0.328	0.258	0.178	0.179	0.185	0.749	0.79	0.792	0.282	0.303	0.279	0.547	0.582	0.558	0.157
11:30:06	0.354	0.36	0.264	0.178	0.181	0.186	0.855	0.896	0.9	0.298	0.324	0.293	0.63	0.673	0.648	0.159
12:00:06	0.397	0.403	0.276	0.178	0.18	0.185	0.971	1.014	1.018	0.321	0.356	0.313	0.728	0.772	0.744	0.157
12:30:06	0.447	0.454	0.29	0.178	0.18	0.184	1.088	1.133	1.133	0.349	0.394	0.338	0.826	0.872	0.847	0.157
13:00:05	0.51	0.52	0.308	0.178	0.182	0.185	1.201	1.239	1.237	0.382	0.443	0.367	0.93	0.982	0.958	0.159
13:30:06	0.592	0.601	0.332	0.178	0.182	0.185	1.278	1.294	1.286	0.428	0.502	0.407	1.04	1.092	1.07	0.159
14:00:06	0.689	0.699	0.368	0.179	0.181	0.185	1.292	1.306	1.298	0.487	0.58	0.462	1.151	1.201	1.183	0.157
14:30:06	0.788	0.801	0.409	0.18	0.183	0.186	1.302	1.316	1.306	0.556	0.666	0.522	1.248	1.254	1.242	0.159
15:00:06	0.898	0.915	0.466	0.181	0.183	0.187	1.312	1.326	1.318	0.638	0.765	0.604	1.266	1.254	1.242	0.159
15:30:06	1.012	1.036	0.534	0.183	0.185	0.188	1.324	1.338	1.332	0.738	0.88	0.694	1.264	1.254	1.242	0.16
16:00:06	1.127	1.147	0.618	0.184	0.186	0.189	1.34	1.354	1.347	0.848	0.998	0.796	1.264	1.254	1.243	0.16
16:30:05	1.201	1.213	0.714	0.187	0.188	0.19	1.357	1.372	1.365	0.96	1.116	0.905	1.264	1.254	1.242	0.16
17:00:06	1.211	1.223	0.818	0.188	0.188	0.192	1.377	1.391	1.385	1.078	1.225	1.02	1.264	1.254	1.241	0.16
17:30:06	1.215	1.231	0.925	0.19	0.19	0.193	1.399	1.415	1.409	1.189	1.316	1.135	1.266	1.258	1.244	0.16
18:00:05	1.225	1.24	1.04	0.192	0.192	0.194	1.423	1.439	1.431	1.288	1.345	1.241	1.268	1.26	1.245	0.16
18:30:05	1.234	1.248	1.147	0.194	0.194	0.196	1.447	1.463	1.455	1.35	1.358	1.328	1.272	1.26	1.248	0.16
19:00:05	1.242	1.26	1.211	0.197	0.197	0.201	1.471	1.487	1.479	1.365	1.37	1.36	1.274	1.266	1.25	0.16
19:30:05	1.258	1.276	1.217	0.199	0.198	0.201	1.495	1.51	1.502	1.379	1.383	1.374	1.282	1.27	1.254	0.158
20:00:05	1.27	1.288	1.219	0.204	0.203	0.206	1.516	1.53	1.522	1.387	1.397	1.385	1.284	1.274	1.26	0.16
20:30:05	1.286	1.308	1.227	0.209	0.208	0.211	1.538	1.552	1.544	1.405	1.417	1.399	1.292	1.28	1.266	0.16
21:00:06	1.3	1.326	1.231	0.216	0.214	0.216	1.558	1.572	1.562	1.423	1.439	1.415	1.298	1.288	1.272	0.161
21:30:07	1.32	1.344	1.24	0.224	0.221	0.223	1.574	1.59	1.58	1.443	1.463	1.435	1.308	1.296	1.278	0.16
22:00:07	1.336	1.359	1.246	0.234	0.23	0.231	1.592	1.608	1.598	1.468	1.486	1.455	1.316	1.304	1.286	0.16
22:30:06	1.352	1.374	1.256	0.247	0.243	0.241	1.61	1.624	1.616	1.491	1.51	1.48	1.326	1.314	1.294	0.16
23:00:06	1.366	1.391	1.266	0.263	0.256	0.254	1.627	1.643	1.631	1.512	1.532	1.5	1.334	1.322	1.302	0.16
23:30:06	1.379	1.405	1.278	0.284	0.273	0.27	1.643	1.657	1.647	1.536	1.552	1.524	1.345	1.334	1.31	0.16
