Time	Well101
0:00:04	0.265
0:30:05	0.243
1:00:05	0.248
1:30:05	0.26
2:00:05	0.271
2:30:05	0.294
3:00:06	0.321
3:30:06	0.365
4:00:06	0.414
4:30:06	0.482
5:00:06	0.562
5:30:06	0.668
6:00:06	0.783
6:30:06	0.906
7:00:06	1.034
7:30:06	1.145
8:00:06	1.213
8:30:06	1.223
9:00:07	1.234
9:30:07	1.245
10:00:06	1.254
10:30:06	1.27
11:00:06	1.286
11:30:06	1.304
12:00:06	1.32
12:30:06	1.342
13:00:05	1.364
13:30:06	1.379
14:00:06	1.401
14:30:06	1.423
15:00:06	1.439
15:30:06	1.455
16:00:06	1.474
16:30:05	1.49
17:00:06	1.504
17:30:06	1.522
18:00:05	1.532
18:30:05	1.546
19:00:05	1.561
19:30:05	1.572
20:00:05	1.583
20:30:05	1.591
21:00:06	1.603
21:30:07	1.611
22:00:07	1.622
22:30:06	1.627
23:00:06	1.637
23:30:06	1.645
